ID(Dec)	ID(Hex)	Action State	Description	Function Address														
0000	0000	DeadDown	Standard downward death																
0001	0001	DeadLeft	Standard leftward death																
0002	0002	DeadRight	Standard rightward death																
0003	0003	DeadUp	Upward death used in 1P "Team Kirby", etc.																
0004	0004	DeadUpStar	Standard Star KO																
0005	0005	DeadUpStarIce	Star KO while encased in ice (Freezie)																
0006	0006		64-esque front fall, unused, I believe																
0007	0007																		
0008	0008	DeadUpFallHitCamera																	
0009	0009	DeadUpFallIce																	
0010	000A	DeadUpFallHitCameraIce																	
0011	000B	Rebirth	"Nothing" state, probably - it is the state Shiek/Zelda is in when their counterpart is the one currently playing. Also state of Nana when Sopo is alive																
0012	000C		Entering on halo	0x800bfd9c															
0013	000D	RebirthWait	Waiting on halo																
0014	000E	Wait	Standing state																
0015	000F	WalkSlow																	
0016	0010	WalkMiddle																	
0017	0011	WalkFast																	
0018	0012	Turn																	
0019	0013	TurnRun																	
0020	0014	Dash																	
0021	0015	Run																	
0022	0016	RunDirect																	
0023	0017	RunBrake																	
0024	0018	KneeBend	Pre-jump animation																
0025	0019	JumpF	First jump forward																
0026	001A	JumpB	First jump backward																
0027	001B	JumpAerialF	Aerial jump forward																
0028	001C	JumpAerialB	Aerial jump backward																
0029	001D	Fall	Falling straight down																
0030	001E	FallF	Falling with forward DI																
0031	001F	FallB	Falling with backward DI																
0032	0020	FallAerial	Falling after the second jump																
0033	0021	FallAerialF	Falling after the second jump with forward DI																
0034	0022	FallAerialB	Falling after the second jump with backward DI																
0035	0023	FallSpecial	Special fall after UpB or airdodge																
0036	0024	FallSpecialF	Special fall with forward DI																
0037	0025	FallSpecialB	Special fall with backward DI																
0038	0026	DamageFall	Tumbling																
0039	0027	Squat	Going from stand to crouch																
0040	0028	SquatWait	Crouching																
0041	0029	SquatRv	Going from crouch to stand																
0042	002A	Landing																	
0043	002B	LandingFallSpecial	Landing from special fall																
0044	002C	Attack11	Jab 1																
0045	002D	Attack12	Jab 2																
0046	002E	Attack13	Jab 3																
0047	002F	Attack100Start	Start of a rapid jab																
0048	0030	Attack100Loop	Middle of a rapid jab																
0049	0031	Attack100End	End of a rapid jab																
0050	0032	AttackDash	Dash attack																
0051	0033	AttackS3Hi	High Ftilt																
0052	0034	AttackS3HiS	High-mid Ftilt																
0053	0035	AttackS3S	Mid Ftilt																
0054	0036	AttackS3LwS	Low-mid Ftilt																
0055	0037	AttackS3Lw	Low Ftilt																
0056	0038	AttackHi3	Uptilt																
0057	0039	AttackLw3	Downtilt																
0058	003A	AttackS4Hi	High Fsmash																
0059	003B	AttackS4HiS	High-mid Fsmash																
0060	003C	AttackS4S	Mid Fsmash																
0061	003D	AttackS4LwS	Low-mid Fsmash																
0062	003E	AttackS4Lw	Low Fsmash																
0063	003F	AttackHi4	Upsmash																
0064	0040	AttackLw4	Downsmash																
0065	0041	AttackAirN	Nair																
0066	0042	AttackAirF	Fair																
0067	0043	AttackAirB	Bair																
0068	0044	AttackAirHi	Uair																
0069	0045	AttackAirLw	Dair																
0070	0046	LandingAirN	Landing during Nair																
0071	0047	LandingAirF	Landing during Fair																
0072	0048	LandingAirB	Landing during Bair																
0073	0049	LandingAirHi	Landing during Uair																
0074	004A	LandingAirLw	Landing during Dair																
0075	004B	DamageHi1																	
0076	004C	DamageHi2																	
0077	004D	DamageHi3																	
0078	004E	DamageN1																	
0079	004F	DamageN2																	
0080	0050	DamageN3																	
0081	0051	DamageLw1																	
0082	0052	DamageLw2																	
0083	0053	DamageLw3																	
0084	0054	DamageAir1																	
0085	0055	DamageAir2																	
0086	0056	DamageAir3																	
0087	0057	DamageFlyHi																	
0088	0058	DamageFlyN																	
0089	0059	DamageFlyLw																	
0090	005A	DamageFlyTop																	
0091	005B	DamageFlyRoll																	
0092	005C	LightGet	Picking up an item																
0093	005D	HeavyGet	Picking up a heavy item (barrel)																
0094	005E	LightThrowF	Throwing items at standard speed	0x80095a30															
0095	005F	LightThrowB																	
0096	0060	LightThrowHi																	
0097	0061	LightThrowLw																	
0098	0062	LightThrowDash																	
0099	0063	LightThrowDrop																	
0100	0064	LightThrowAirF																	
0101	0065	LightThrowAirB																	
0102	0066	LightThrowAirHi																	
0103	0067	LightThrowAirLw																	
0104	0068	HeavyThrowF																	
0105	0069	HeavyThrowB																	
0106	006A	HeavyThrowHi																	
0107	006B	HeavyThrowLw																	
0108	006C	LightThrowF4	Throwing items at Smash speed																
0109	006D	LightThrowB4																	
0110	006E	LightThrowHi4																	
0111	006F	LightThrowLw4																	
0112	0070	LightThrowAirF4																	
0113	0071	LightThrowAirB4																	
0114	0072	LightThrowAirHi4																	
0115	0073	LightThrowAirLw4																	
0116	0074	HeavyThrowF4																	
0117	0075	HeavyThrowB4																	
0118	0076	HeavyThrowHi4																	
0119	0077	HeavyThrowLw4																	
0120	0078	SwordSwing1	Beam sword swings																
0121	0079	SwordSwing3																	
0122	007A	SwordSwing4																	
0123	007B	SwordSwingDash																	
0124	007C	BatSwing1	Home Run Bat swings																
0125	007D	BatSwing3																	
0126	007E	BatSwing4																	
0127	007F	BatSwingDash																	
0128	0080	ParasolSwing1	Parasol swings																
0129	0081	ParasolSwing3																	
0130	0082	ParasolSwing4																	
0131	0083	ParasolSwingDash																	
0132	0084	HarisenSwing1	Fan swings																
0133	0085	HarisenSwing3																	
0134	0086	HarisenSwing4																	
0135	0087	HarisenSwingDash																	
0136	0088	StarRodSwing1	Star Rod swings																
0137	0089	StarRodSwing3																	
0138	008A	StarRodSwing4																	
0139	008B	StarRodSwingDash																	
0140	008C	LipStickSwing1	Lip's Stick swings																
0141	008D	LipStickSwing3																	
0142	008E	LipStickSwing4																	
0143	008F	LipStickSwingDash																	
0144	0090	ItemParasolOpen																	
0145	0091	ItemParasolFall																	
0146	0092	ItemParasolFallSpecial																	
0147	0093	ItemParasolDamageFall																	
0148	0094	LGunShoot	Raygun shots																
0149	0095	LGunShootAir																	
0150	0096	LGunShootEmpty																	
0151	0097	LGunShootAirEmpty																	
